,Player,Club,League,Age,Height_all,National,Positions,Main_position,Foot,Apps,Mins,Goals,Assists,Yel,Red,PS%,AerialsWon,MotM,Rating,Contract,Market_Value
30,Iñaki Williams,Athletic Bilbao,Laliga,30 years old (15-06-1994),"1,86m",Ghana,"Attacking Midfielder (Centre, Left, Right), Forward",Right Winger,right,28(4),2556.0,6,8,1,-,69.8,0.9,4,6.96,"Jun 30, 2028",€20.00m
31,Ángel Ortiz,Real Betis Balompié,Laliga,20 years old (25-07-2004),"1,67m",Spain,Forward,Right-Back,right,4,345.0,-,1,-,-,78.2,1.3,1,6.95,"Jun 30, 2025",€2.50m
32,Lucas Ocampos,Monterrey,Laliga,30 years old (11-07-1994),187cm,Argentina,"Midfielder (Centre, Left, Right), Forward",,,2,176.0,-,1,-,-,73.2,1.5,-,6.95,,
33,Nayef Aguerd,Real Sociedad,Laliga,29 years old (30-03-1996),"1,90m",Morocco,Defender (Centre),Centre-Back,left,20,1675.0,-,-,5,-,87.9,3,-,6.94,"Jun 30, 2025",€25.00m
34,Johnny Cardoso,Real Betis Balompié,Laliga,23 years old (20-09-2001),"1,86m",USA,Midfielder (Centre),Defensive Midfield,right,22(3),1952.0,3,1,5,-,85.5,1.1,-,6.94,"Jun 30, 2030",€20.00m
35,Unai Núñez,Athletic Bilbao,Laliga,28 years old (30-01-1997),"1,86m",Spain,Defender (Centre),Centre-Back,right,6(2),582.0,-,-,4,-,87.4,1.6,-,6.93,"Jun 30, 2025",€3.00m
36,Eduardo Camavinga,Real Madrid,Laliga,22 years old (10-11-2002),"1,82m",France,"Defender (Left), Defensive Midfielder (C)",Central Midfield,left,11(8),1098.0,1,2,2,-,89,1.2,1,6.93,"Jun 30, 2029",€70.00m
37,Omar Alderete,Getafe CF,Laliga,28 years old (26-12-1996),"1,88m",Paraguay,Defender (Centre),Centre-Back,left,30,2651.0,1,-,7,-,67.8,2.9,2,6.93,"Jun 30, 2028",€8.00m
38,Sergi Cardona,Villarreal CF,Laliga,25 years old (08-07-1999),"1,86m",Spain,Defender (Left),Left-Back,both,31,2684.0,1,7,11,-,79.3,1.3,3,6.91,"Jun 30, 2027",€8.00m
39,Oihan Sancet,Athletic Bilbao,Laliga,25 years old (25-04-2000),"1,88m",Spain,"Midfielder (Centre), Forward",Attacking Midfield,right,18(7),1480.0,15,1,2,-,84.3,0.4,4,6.91,"Jun 30, 2032",€60.00m
40,Ronald Araujo,FC Barcelona,Laliga,26 years old (07-03-1999),"1,92m",Uruguay,"Defender (Centre, Right)",Centre-Back,right,8(1),554.0,1,1,1,-,91.1,2.8,-,6.91,"Jun 30, 2031",€50.00m
41,Andrei Ratiu,Rayo Vallecano,Laliga,26 years old (20-06-1998),"1,83m",Romania,"Defender (Right), Midfielder (Right)",Right-Back,right,30(1),2719.0,2,3,5,-,84.6,0.5,3,6.91,"Jun 30, 2028",€12.00m
42,Julián Alvarez,Atlético de Madrid,Laliga,25 years old (31-01-2000),"1,70m",Argentina,"Attacking Midfielder (Centre, Left, Right), Forward",Centre-Forward,right,26(7),2187.0,15,2,4,-,78.9,0.4,4,6.91,"Jun 30, 2030",€90.00m
43,Dani Raba,CD Leganés,Laliga,29 years old (29-10-1995),"1,85m",Spain,"Attacking Midfielder (Centre, Right), Forward",Right Winger,left,19(5),1554.0,7,4,5,-,71.7,0.2,1,6.9,"Jun 30, 2025",€1.80m
44,Aurélien Tchouaméni,Real Madrid,Laliga,25 years old (27-01-2000),"1,88m",France,"Defender (Centre), Defensive Midfielder (C)",Defensive Midfield,right,27(1),2365.0,-,-,4,-,92.9,2.5,-,6.9,"Jun 30, 2028",€80.00m
45,Antoine Griezmann,Atlético de Madrid,Laliga,34 years old (21-03-1991),"1,76m",France,"Attacking Midfielder (Centre, Left, Right), Forward",Centre-Forward,left,27(6),2291.0,8,6,2,-,80,0.6,2,6.9,"Jun 30, 2026",€22.00m
46,Marcos Llorente,Atlético de Madrid,Laliga,30 years old (30-01-1995),"1,84m",Spain,"Defender (Right), Midfielder (Centre, Right), Forward",Right Midfield,right,23(5),2066.0,2,4,-,1,88,0.4,2,6.89,"Jun 30, 2027",€28.00m
47,Dani Carvajal,Real Madrid,Laliga,33 years old (11-01-1992),"1,73m",Spain,Defender (Right),Right-Back,right,7(1),611.0,1,-,2,-,88.1,0.9,-,6.89,"Jun 30, 2026",€10.00m
48,Pablo Maffeo,RCD Mallorca,Laliga,27 years old (12-07-1997),"1,72m",Spain,"Defender (Left, Right), Midfielder (Right)",Right-Back,right,25(1),2124.0,-,1,5,-,75.3,0.7,1,6.89,"Jun 30, 2027",€5.00m
49,Jules Koundé,FC Barcelona,Laliga,26 years old (12-11-1998),"1,80m",France,"Defender (Centre, Right)",Right-Back,right,29(3),2606.0,2,3,4,-,88.6,0.9,3,6.89,"Jun 30, 2027",€60.00m
50,José Gayà,Valencia CF,Laliga,29 years old (25-05-1995),"1,72m",Spain,"Defender (Left), Midfielder (Left)",Left-Back,left,18(1),1487.0,-,1,6,-,81.2,0.5,-,6.88,"Jun 30, 2027",€15.00m
51,Juan Musso,Atlético de Madrid,Laliga,30 years old (06-05-1994),"1,91m",Argentina,Goalkeeper,Goalkeeper,right,1,90.0,-,-,-,-,78.3,1,-,6.88,"Jun 30, 2025",€4.00m
52,Dani Vivian,Athletic Bilbao,Laliga,25 years old (05-07-1999),"1,84m",Spain,Defender (Centre),Centre-Back,right,24(3),2217.0,3,-,3,-,87.4,1.3,2,6.88,"Jun 30, 2032",€40.00m
53,Lucas Torró,CA Osasuna,Laliga,30 years old (19-07-1994),"1,90m",Spain,Defensive Midfielder (C),Defensive Midfield,right,30,2560.0,3,-,10,-,76.5,5,1,6.88,"Jun 30, 2027",€3.50m
54,Antonio Raíllo,RCD Mallorca,Laliga,33 years old (08-10-1991),"1,87m",Spain,Defender (Centre),Centre-Back,,31,2759.0,2,-,5,1,88.5,3.6,2,6.87,"Jun 30, 2026",€2.00m
55,Diego Llorente,Real Betis Balompié,Laliga,31 years old (16-08-1993),"1,86m",Spain,"Defender (Centre), Defensive Midfielder (C)",Centre-Back,right,29(1),2522.0,2,-,4,-,86.9,2.6,1,6.87,"Jun 30, 2028",€6.00m
56,Fábio Silva,UD Las Palmas,Laliga,22 years old (19-07-2002),"1,85m",Portugal,"Attacking Midfielder (Left), Forward",Centre-Forward,right,22(2),1877.0,10,3,7,-,68.6,2.2,2,6.87,"Jun 30, 2025",€20.00m
57,Luis Milla,Getafe CF,Laliga,30 years old (07-10-1994),"1,75m",Spain,Midfielder (Centre),Central Midfield,right,28(1),2518.0,1,4,4,-,81.7,1,2,6.85,"Jun 30, 2027",€3.50m
58,Martín Zubimendi,Real Sociedad,Laliga,26 years old (02-02-1999),"1,81m",Spain,Defensive Midfielder (C),Defensive Midfield,right,29(2),2600.0,2,1,5,-,84.4,1.5,1,6.85,"Jun 30, 2027",€60.00m
59,Arnaut Danjuma,Girona FC,Laliga,28 years old (31-01-1997),"1,78m",Netherlands,"Attacking Midfielder (Left), Forward",Left Winger,right,3,203.0,2,-,1,-,76.7,0.7,-,6.84,"Jun 30, 2025",€5.00m
60,Nahuel Tenaglia,Deportivo Alavés,Laliga,29 years old (21-02-1996),"1,81m",Argentina,"Defender (Centre, Right)",Right-Back,right,29,2546.0,2,1,11,-,74.8,1.4,2,6.84,"Jun 30, 2027",€3.00m
61,Nabil Fekir,Real Betis Balompié,Laliga,31 years old (18-07-1993),173cm,France,"Attacking Midfielder (Centre, Left, Right), Forward",,,2,180.0,-,1,-,-,86.1,-,1,6.84,,
62,Unai Marrero,Real Sociedad,Laliga,23 years old (09-10-2001),"1,89m",Spain,Goalkeeper,Goalkeeper,right,1,90.0,-,-,-,-,70.8,-,-,6.84,"Jun 30, 2027",€600k
63,Alex Berenguer,Athletic Bilbao,Laliga,29 years old (04-07-1995),"1,75m",Spain,"Defender (Left, Right), Midfielder (Centre, Left, Right), Forward",Left Winger,right,24(8),1994.0,5,7,4,-,78.5,0.7,1,6.84,"Jun 30, 2027",€12.00m
64,Omar El Hilali,RCD Espanyol Barcelona,Laliga,21 years old (12-09-2003),"1,83m",Morocco,Defender (Right),Right-Back,right,32,2831.0,-,2,9,-,80.5,1.1,1,6.84,"Jun 30, 2027",€10.00m
65,Gerard Moreno,Villarreal CF,Laliga,33 years old (07-04-1992),"1,80m",Spain,"Attacking Midfielder (Centre, Right), Forward",Centre-Forward,left,6(8),649.0,3,1,-,-,78.8,1.1,-,6.84,"Jun 30, 2027",€5.00m
66,Rubén García,CA Osasuna,Laliga,31 years old (14-07-1993),"1,72m",Spain,"Attacking Midfielder (Centre, Left, Right), Forward",Right Winger,left,26(6),2152.0,4,5,2,-,79.4,0.8,2,6.84,"Jun 30, 2026",€2.00m
67,Leandro Cabrera,RCD Espanyol Barcelona,Laliga,33 years old (17-06-1991),"1,90m",Uruguay,"Defender (Centre, Left)",Centre-Back,left,28(1),2521.0,3,2,3,-,76.7,2.4,2,6.83,"Jun 30, 2025",€1.00m
68,Yangel Herrera,Girona FC,Laliga,27 years old (07-01-1998),"1,84m",Venezuela,Midfielder (Centre),Central Midfield,right,23(2),1927.0,4,3,9,1,84.2,1.8,4,6.83,"Jun 30, 2027",€20.00m
69,Sergio Gómez,Real Sociedad,Laliga,24 years old (04-09-2000),"1,71m",Spain,"Defender (Left), Midfielder (Centre, Left, Right)",Right Winger,left,28(4),2484.0,2,5,4,-,84.6,0.4,2,6.81,"Jun 30, 2030",€20.00m
70,Thibaut Courtois,Real Madrid,Laliga,32 years old (11-05-1992),"2,00m",Belgium,Goalkeeper,Goalkeeper,left,27,2430.0,-,-,1,-,80.9,0.3,1,6.81,"Jun 30, 2026",€25.00m
71,Urko González,RCD Espanyol Barcelona,Laliga,24 years old (20-03-2001),"1,89m",Spain,Defensive Midfielder (C),Defensive Midfield,right,11(1),951.0,-,1,1,-,77.1,1.3,-,6.81,"Jun 30, 2025",€1.50m
72,Abdul Mumin,Rayo Vallecano,Laliga,26 years old (06-06-1998),"1,88m",Ghana,Defender (Centre),Centre-Back,right,24,2020.0,2,1,6,1,83.6,1.3,1,6.81,"Jun 30, 2026",€5.00m
73,Carlos Vicente,Deportivo Alavés,Laliga,26 years old (23-04-1999),"1,79m",Spain,Attacking Midfielder (Right),Right Winger,right,30(2),2649.0,4,5,2,-,74.9,0.9,2,6.81,"Jun 30, 2027",€8.00m
74,Alexander Sørloth,Atlético de Madrid,Laliga,29 years old (05-12-1995),"1,95m",Norway,"Attacking Midfielder (Right), Forward",Centre-Forward,left,12(18),1293.0,13,2,4,-,64.9,2.9,1,6.81,"Jun 30, 2028",€25.00m
75,Luka Modric,Real Madrid,Laliga,39 years old (09-09-1985),"1,72m",Croatia,Midfielder (Centre),Central Midfield,right,14(16),1492.0,2,4,7,-,91.2,0.2,1,6.8,"Jun 30, 2025",€5.00m
76,Loïc Badé,Sevilla FC,Laliga,25 years old (11-04-2000),"1,91m",France,Defender (Centre),Centre-Back,right,27(1),2450.0,1,1,6,-,86.6,2.1,1,6.8,"Jun 30, 2029",€30.00m
77,Marash Kumbulla,RCD Espanyol Barcelona,Laliga,25 years old (08-02-2000),"1,91m",Albania,Defender (Centre),Centre-Back,right,30(1),2616.0,3,-,8,-,85.1,1.9,1,6.8,"Jun 30, 2025",€6.00m
78,Valentin Rosier,CD Leganés,Laliga,28 years old (19-08-1996),"1,75m",France,"Defender (Left, Right), Midfielder (Left, Right)",Right-Back,right,26(4),2440.0,1,2,8,-,79.5,0.8,-,6.79,"Jun 30, 2025",€3.00m
79,Alejandro Catena,CA Osasuna,Laliga,30 years old (28-10-1994),"1,94m",Spain,Defender (Centre),Centre-Back,right,31,2717.0,-,2,10,-,83.9,1.9,2,6.79,"Jun 30, 2028",€4.00m
80,Javi Galán,Atlético de Madrid,Laliga,30 years old (19-11-1994),"1,72m",Spain,"Defender (Left), Midfielder (Left)",Left-Back,left,17(4),1479.0,-,2,8,-,85.8,1,2,6.79,"Jun 30, 2026",€4.00m
81,Vedat Muriqi,RCD Mallorca,Laliga,31 years old (24-04-1994),"1,94m",Kosovo,Forward,Centre-Forward,left,20(4),1752.0,7,2,1,2,63,5.1,2,6.78,"Jun 30, 2027",€8.00m
82,Diego Rico,Getafe CF,Laliga,32 years old (23-02-1993),"1,83m",Spain,"Defender (Centre, Left), Midfielder (Left)",Left-Back,left,28(1),2460.0,-,3,7,1,69.7,0.8,-,6.78,"Jun 30, 2026",€1.30m
83,Jon Aramburu,Real Sociedad,Laliga,22 years old (23-07-2002),"1,76m",Venezuela,Defender (Right),Right-Back,right,26(4),2213.0,1,1,8,-,80.5,1.2,1,6.78,"Jun 30, 2030",€12.00m
84,Thierno Barry,Villarreal CF,Laliga,22 years old (21-10-2002),"1,95m",,Forward,Centre-Forward,right,23(9),2120.0,10,3,4,-,62.2,3,4,6.78,"Jun 30, 2029",€14.00m
85,Mikel Jauregizar,Athletic Bilbao,Laliga,21 years old (13-11-2003),"1,77m",Spain,Defensive Midfielder (C),Central Midfield,right,22(7),1936.0,2,1,4,1,82.6,0.9,1,6.78,"Jun 30, 2027",€20.00m
86,Raúl Asencio,Real Madrid,Laliga,22 years old (13-02-2003),"1,84m",Spain,Defender (Centre),Centre-Back,right,14(5),1363.0,-,1,2,-,93.7,1.5,1,6.78,"Jun 30, 2026",€30.00m
87,Pablo Barrios,Atlético de Madrid,Laliga,21 years old (15-06-2003),"1,81m",,Midfielder (Centre),Central Midfield,right,25(2),2147.0,1,3,4,1,87.5,1.1,-,6.77,"Jun 30, 2028",€50.00m
88,Alejandro Balde,FC Barcelona,Laliga,21 years old (18-10-2003),"1,75m",Spain,"Defender (Left, Right), Midfielder (Left)",Left-Back,left,25(3),2088.0,-,4,2,-,91,0.5,-,6.77,"Jun 30, 2028",€60.00m
89,Samú Costa,RCD Mallorca,Laliga,24 years old (27-11-2000),"1,85m",,Defensive Midfielder (C),Defensive Midfield,left,26(1),2217.0,-,2,6,1,81.5,2.3,-,6.77,"Jun 30, 2028",€15.00m
90,Marcos Alonso,Celta de Vigo,Laliga,34 years old (28-12-1990),"1,88m",Spain,"Defender (Centre, Left), Midfielder (Left)",Left-Back,left,25(2),2341.0,2,-,8,1,90.1,2.3,2,6.77,"Jun 30, 2025",€1.80m
91,Roberto Fernández,RCD Espanyol Barcelona,Laliga,22 years old (03-07-2002),"1,86m",,Forward,Centre-Forward,right,13(1),1095.0,5,-,1,-,71.4,1.9,-,6.77,"Jun 30, 2025",€4.00m
92,Clément Lenglet,Atlético de Madrid,Laliga,29 years old (17-06-1995),"1,86m",France,Defender (Centre),Centre-Back,left,20,1706.0,1,1,9,-,87.3,1.6,1,6.77,"Jun 30, 2025",€7.50m
93,Ilias Akhomach,Villarreal CF,Laliga,21 years old (16-04-2004),"1,75m",Spain,Attacking Midfielder (Right),Right Winger,left,7(4),589.0,1,-,1,-,79.9,0.6,-,6.76,"Jun 30, 2026",€15.00m
94,Enzo Barrenechea,Valencia CF,Laliga,23 years old (22-05-2001),"1,86m",Argentina,Defensive Midfielder (C),Defensive Midfield,right,23(3),1926.0,1,2,6,-,86.4,1.3,2,6.76,"Jun 30, 2025",€7.50m
95,Carl Starfelt,Celta de Vigo,Laliga,29 years old (01-06-1995),"1,87m",Sweden,Defender (Centre),Centre-Back,right,26(2),2273.0,1,-,5,-,93.7,2.3,-,6.76,"Jun 30, 2027",€6.00m
96,Raúl Moro,Real Valladolid CF,Laliga,22 years old (05-12-2002),"1,69m",Spain,Attacking Midfielder (Left),Left Winger,right,21(7),1915.0,4,3,2,-,74.1,0.3,3,6.76,"Jun 30, 2028",€5.00m
97,Dani Ceballos,Real Madrid,Laliga,28 years old (07-08-1996),"1,79m",Spain,"Midfielder (Centre, Left)",Central Midfield,right,11(7),906.0,-,-,4,-,95,0.1,-,6.75,"Jun 30, 2027",€10.00m
98,Héctor Bellerín,Real Betis Balompié,Laliga,30 years old (19-03-1995),"1,78m",Spain,"Defender (Right), Midfielder (Right)",Right-Back,right,6(2),569.0,-,1,1,-,83.1,0.8,-,6.75,"Jun 30, 2028",€3.00m
99,Pau Cubarsí,FC Barcelona,Laliga,18 years old (22-01-2007),"1,84m",Spain,Defender (Centre),Centre-Back,right,26(5),2345.0,-,3,3,-,93.6,1.9,-,6.75,"Jun 30, 2029",€70.00m
100,Takefusa Kubo,Real Sociedad,Laliga,23 years old (04-06-2001),"1,73m",Japan,"Attacking Midfielder (Centre, Left, Right), Forward",Right Winger,left,22(9),1984.0,5,-,5,-,76.3,0.3,2,6.75,"Jun 30, 2029",€40.00m
101,Bryan Zaragoza,CA Osasuna,Laliga,23 years old (09-09-2001),"1,64m",Spain,"Attacking Midfielder (Left, Right)",Left Winger,right,18(4),1489.0,1,5,4,-,72.5,-,2,6.75,"Jun 30, 2025",€12.00m
102,Marc Casadó,FC Barcelona,Laliga,21 years old (14-09-2003),"1,72m",Spain,Defensive Midfielder (C),Defensive Midfield,right,20(3),1618.0,1,3,2,1,89.9,0.4,-,6.75,"Jun 30, 2028",€30.00m
103,Rubén Vargas,Sevilla FC,Laliga,26 years old (05-08-1998),"1,79m",Switzerland,"Attacking Midfielder (Centre, Left, Right), Forward",Left Winger,right,9(2),677.0,2,1,-,-,73.6,0.6,-,6.75,"Jun 30, 2029",€7.00m
104,Sergio Herrera,CA Osasuna,Laliga,31 years old (05-06-1993),"1,92m",Spain,Goalkeeper,Goalkeeper,right,32,2880.0,-,-,5,-,66.6,0.2,1,6.74,"Jun 30, 2026",€4.00m
105,Santi Comesaña,Villarreal CF,Laliga,28 years old (05-10-1996),"1,88m",Spain,Midfielder (Centre),Central Midfield,both,27(4),2269.0,3,2,7,-,85.5,0.9,3,6.74,"Jun 30, 2028",€8.00m
106,Ramón Martínez,Sevilla FC,Laliga,22 years old (22-10-2002),185cm,Spain,Defender,,,1(1),95.0,-,-,-,-,89.8,1.5,-,6.74,,
107,José Ángel Carmona,Sevilla FC,Laliga,23 years old (29-01-2002),"1,84m",Spain,"Defender (Centre, Right), Midfielder (Right)",Right-Back,right,31,2665.0,-,-,9,-,82.3,1,-,6.74,"Jun 30, 2028",€12.00m
108,Kike Salas,Sevilla FC,Laliga,23 years old (23-04-2002),"1,88m",Spain,"Defender (Centre, Left)",Centre-Back,left,20(6),1833.0,1,2,5,-,79.7,2.5,1,6.74,"Jun 30, 2029",€8.00m
109,Saúl Ñíguez,Sevilla FC,Laliga,30 years old (21-11-1994),"1,84m",Spain,"Defender (Centre, Left), Midfielder (Centre, Left, Right)",Central Midfield,left,15(6),1402.0,1,6,7,1,80,1.7,2,6.74,"Jun 30, 2025",€3.50m
110,César Tárrega,Valencia CF,Laliga,23 years old (26-02-2002),"1,94m",Spain,Defender (Centre),Centre-Back,right,30,2667.0,2,-,5,-,84.2,2.8,2,6.74,"Jun 30, 2028",€6.00m
111,Kike García,Deportivo Alavés,Laliga,35 years old (25-11-1989),"1,86m",Spain,Forward,Centre-Forward,right,25(6),2221.0,12,-,3,1,67.5,3.2,1,6.73,"Jun 30, 2025",€900k
112,Florian Lejeune,Rayo Vallecano,Laliga,33 years old (20-05-1991),"1,90m",France,Defender (Centre),Centre-Back,right,32,2876.0,-,2,6,-,84.4,2.2,-,6.73,"Jun 30, 2027",€2.80m
113,Luis Rioja,Valencia CF,Laliga,31 years old (16-10-1993),"1,76m",Spain,"Midfielder (Left, Right)",Left Winger,left,29(2),2502.0,5,3,5,-,77.7,0.4,3,6.73,"Jun 30, 2026",€2.00m
114,Augusto Batalla,Rayo Vallecano,Laliga,28 years old (30-04-1996),"1,86m",Argentina,Goalkeeper,Goalkeeper,right,28,2520.0,-,-,5,-,63.9,0.2,1,6.73,"Jun 30, 2025",€6.00m
115,Jon Martín,Real Sociedad,Laliga,19 years old (23-04-2006),"1,87m",,Defender,Centre-Back,right,3(7),630.0,-,1,2,-,85.6,4.1,-,6.73,"Jun 30, 2030",€2.00m
116,Juan Iglesias,Getafe CF,Laliga,26 years old (03-07-1998),"1,87m",Spain,"Defender (Left, Right), Midfielder (Right)",Right-Back,right,27(5),2458.0,-,1,4,-,60.8,1,1,6.72,"Jun 30, 2026",€3.50m
117,Alberto Moleiro,UD Las Palmas,Laliga,21 years old (30-09-2003),"1,71m",Spain,Attacking Midfielder (Left),Attacking Midfield,right,28(3),2386.0,6,1,5,-,83.5,0.2,2,6.72,"Jun 30, 2026",€25.00m
118,Jorge Sáenz,CD Leganés,Laliga,28 years old (17-11-1996),"1,88m",Spain,Defender (Centre),Centre-Back,right,14(4),1243.0,1,-,3,1,83.4,1.8,2,6.72,"Jun 30, 2025",€1.20m
