,Player,Club,League,Age,Height_all,National,Positions,Main_position,Foot,Apps,Mins,Goals,Assists,Yel,Red,PS%,AerialsWon,MotM,Rating,Contract,Market_Value
10,Dayot Upamecano,Bayern Munich,Bundesliga,26 years old (27-10-1998),"1,86m",France,Defender (Centre),Centre-Back,right,20,1763.0,2,-,6,-,94.1,3,1,7.22,"Jun 30, 2026",€50.00m
11,Serhou Guirassy,Borussia Dortmund,Bundesliga,29 years old (12-03-1996),"1,87m",Guinea,"Attacking Midfielder (Left), Forward",Centre-Forward,right,26(1),2344.0,17,2,4,-,73.2,4,5,7.2,"Jun 30, 2028",€40.00m
12,Nadiem Amiri,1.FSV Mainz 05,Bundesliga,28 years old (27-10-1996),"1,80m",Germany,"Midfielder (Centre, Left, Right)",Central Midfield,right,27,2215.0,6,4,6,2,82.5,0.6,5,7.19,"Jun 30, 2028",€18.00m
13,Maximilian Mittelstädt,VfB Stuttgart,Bundesliga,28 years old (18-03-1997),"1,80m",Germany,"Defender (Left), Midfielder (Centre, Left)",Left-Back,left,25(3),2228.0,1,6,5,-,87.3,0.9,2,7.18,"Jun 30, 2028",€20.00m
14,Franck Honorat,Borussia Mönchengladbach,Bundesliga,28 years old (11-08-1996),"1,80m",France,"Midfielder (Left, Right), Forward",Right Winger,right,15(1),1227.0,3,6,-,-,74.9,0.3,1,7.17,"Jun 30, 2028",€12.00m
15,Mohamed Simakan,Al Nassr FC,Bundesliga,24 years old (03-05-2000),187cm,,"Defender (Centre, Right)",,,1,55.0,-,-,-,-,81.4,3,-,7.14,,
16,Nathaniel Brown,Eintracht Frankfurt,Bundesliga,21 years old (16-06-2003),"1,80m",Germany,"Defender (Left), Midfielder (Left)",Left-Back,left,19(4),1689.0,3,6,1,-,86.3,0.3,1,7.13,"Jun 30, 2030",€15.00m
17,Ritsu Doan,SC Freiburg,Bundesliga,26 years old (16-06-1998),"1,72m",Japan,"Midfielder (Centre, Left, Right), Forward",Right Winger,left,30(1),2615.0,9,7,2,-,75.9,0.5,2,7.12,"Jun 30, 2027",€22.00m
18,Tom Bischof,TSG 1899 Hoffenheim,Bundesliga,19 years old (28-06-2005),"1,76m",Germany,"Midfielder (Centre, Right)",Central Midfield,left,27(1),2322.0,5,2,5,-,83.3,0.4,3,7.11,"Jun 30, 2025",€25.00m
19,Moritz Jenz,1.FSV Mainz 05,Bundesliga,26 years old (30-04-1999),"1,90m",Germany,Defender (Centre),Centre-Back,right,18(1),1602.0,-,-,4,-,84.3,3.9,1,7.1,"Jun 30, 2025",€6.00m
20,Tiago Pereira Cardoso,Borussia Mönchengladbach,Bundesliga,19 years old (07-04-2006),"1,90m",Luxembourg,Goalkeeper,Goalkeeper,right,4(1),378.0,-,-,-,-,71.3,0.8,1,7.1,-,€300k
21,Willi Orbán,RB Leipzig,Bundesliga,32 years old (03-11-1992),"1,86m",Hungary,Defender (Centre),Centre-Back,right,25,2224.0,5,-,4,2,88,4.2,3,7.08,"Jun 30, 2027",€10.00m
22,Stefan Bell,1.FSV Mainz 05,Bundesliga,33 years old (24-08-1991),"1,92m",Germany,"Defender (Centre, Right)",Centre-Back,right,13(2),1180.0,-,1,3,-,80,4.3,1,7.08,"Jun 30, 2026",€800k
23,Alphonso Davies,Bayern Munich,Bundesliga,24 years old (02-11-2000),"1,83m",Canada,"Defender (Left), Midfielder (Left, Right)",Left-Back,left,17(2),1562.0,1,2,-,-,91.1,0.5,-,7.08,"Jun 30, 2030",€50.00m
24,Vincenzo Grifo,SC Freiburg,Bundesliga,32 years old (07-04-1993),"1,80m",Italy,"Attacking Midfielder (Centre, Left)",Left Winger,right,28(3),2199.0,8,10,2,-,82.3,0.5,4,7.07,-,€7.50m
25,Álex Grimaldo,Bayer 04 Leverkusen,Bundesliga,29 years old (20-09-1995),171cm,Spain,"Defender (Left), Midfielder (Left)",,,28(1),2442.0,2,6,3,1,86.2,0.4,3,7.06,,
26,Finn Dahmen,FC Augsburg,Bundesliga,27 years old (27-03-1998),"1,86m",Germany,Goalkeeper,Goalkeeper,right,16,1440.0,-,-,-,-,67.1,0.4,-,7.05,"Jun 30, 2027",€6.00m
27,Mohammed Amoura,VfL Wolfsburg,Bundesliga,24 years old (09-05-2000),"1,70m",Algeria,"Attacking Midfielder (Left), Forward",Centre-Forward,right,27(1),2286.0,10,8,6,-,72.9,0.7,3,7.05,"Jun 30, 2025",€32.00m
28,Kingsley Coman,Bayern Munich,Bundesliga,28 years old (13-06-1996),"1,81m",France,"Midfielder (Left, Right), Forward",Left Winger,right,12(13),1132.0,5,4,-,-,89.2,0.3,-,7.05,"Jun 30, 2027",€35.00m
29,Cédric Zesiger,FC Augsburg,Bundesliga,26 years old (24-06-1998),"1,94m",Switzerland,Defender (Centre),Centre-Back,left,12,1004.0,-,2,5,1,78.7,1.7,1,7.04,"Jun 30, 2025",€5.50m
30,Diogo Leite,1.FC Union Berlin,Bundesliga,26 years old (23-01-1999),"1,90m",Portugal,Defender (Centre),Centre-Back,left,29(1),2548.0,1,2,3,-,79.2,2.7,-,7.03,-,€17.00m
31,Leroy Sané,Bayern Munich,Bundesliga,29 years old (11-01-1996),"1,83m",Germany,"Midfielder (Centre, Left, Right), Forward",Right Winger,left,16(11),1487.0,10,4,2,-,86.7,0.3,1,7.03,"Jun 30, 2025",€38.00m
32,Granit Xhaka,Bayer 04 Leverkusen,Bundesliga,32 years old (27-09-1992),"1,86m",Switzerland,"Defender (Left), Midfielder (Centre)",Defensive Midfield,left,31,2724.0,2,7,3,-,91.1,1.3,-,7.01,"Jun 30, 2028",€17.00m
33,Jamie Gittens,Borussia Dortmund,Bundesliga,20 years old (08-08-2004),"1,78m",England,"Attacking Midfielder (Centre, Left)",Left Winger,right,20(9),1711.0,8,3,3,-,82.2,0.2,1,7.01,"Jun 30, 2028",€50.00m
34,Min-Jae Kim,Bayern Munich,Bundesliga,28 years old (15-11-1996),"1,90m",South Korea,Defender (Centre),Centre-Back,right,27,2289.0,2,-,2,-,92.6,3,1,6.98,"Jun 30, 2028",€45.00m
35,Anthony Caci,1.FSV Mainz 05,Bundesliga,27 years old (01-07-1997),"1,84m",France,"Defender (Centre, Left, Right), Midfielder (Left, Right)",Right Midfield,right,30,2464.0,1,7,6,-,75.4,1.1,2,6.98,"Jun 30, 2026",€10.00m
36,Anton Stach,TSG 1899 Hoffenheim,Bundesliga,26 years old (15-11-1998),"1,94m",Germany,"Defender (Centre), Midfielder (Centre)",Defensive Midfield,right,26(1),2328.0,1,2,7,-,83.1,1.9,-,6.98,"Jun 30, 2027",€14.00m
37,Nico Elvedi,Borussia Mönchengladbach,Bundesliga,28 years old (30-09-1996),"1,89m",Switzerland,"Defender (Centre, Left, Right)",Centre-Back,right,23,2002.0,1,1,1,-,92,2.2,1,6.98,"Jun 30, 2027",€8.00m
38,Marius Müller,VfL Wolfsburg,Bundesliga,31 years old (12-07-1993),"1,92m",Germany,Goalkeeper,Goalkeeper,right,5(1),474.0,-,-,-,-,66.1,0.7,-,6.97,-,€1.50m
39,Alexis Claude-Maurice,FC Augsburg,Bundesliga,26 years old (06-06-1998),"1,76m",France,"Attacking Midfielder (Centre, Left), Forward",Attacking Midfield,right,22(3),1901.0,9,2,4,-,83.2,0.5,3,6.97,"Jun 30, 2027",€12.00m
40,Patrik Schick,Bayer 04 Leverkusen,Bundesliga,29 years old (24-01-1996),"1,91m",Czech Republic,"Attacking Midfielder (Right), Forward",Centre-Forward,left,17(11),1476.0,19,-,4,-,78.9,1.4,5,6.96,"Jun 30, 2027",€27.00m
41,Benjamin Sesko,RB Leipzig,Bundesliga,21 years old (31-05-2003),"1,95m",Slovenia,"Attacking Midfielder (Centre), Forward",Centre-Forward,right,28(2),2257.0,12,5,-,1,67.6,2.2,3,6.96,"Jun 30, 2029",€65.00m
42,Raphaël Guerreiro,Bayern Munich,Bundesliga,31 years old (22-12-1993),"1,70m",Portugal,"Defender (Left, Right), Midfielder (Centre, Left)",Left-Back,left,17(4),1433.0,4,3,2,-,90.4,0.3,1,6.96,"Jun 30, 2026",€10.00m
43,Romano Schmid,SV Werder Bremen,Bundesliga,25 years old (27-01-2000),"1,68m",Austria,"Attacking Midfielder (Centre, Left, Right), Forward",Attacking Midfield,right,29,2592.0,4,4,3,-,78.7,0.7,3,6.95,-,€15.00m
44,Angelo Stiller,VfB Stuttgart,Bundesliga,24 years old (04-04-2001),"1,83m",Germany,Defensive Midfielder (C),Defensive Midfield,left,29(1),2637.0,1,8,5,-,89.8,0.7,3,6.95,"Jun 30, 2028",€38.00m
45,Dominik Kohr,1.FSV Mainz 05,Bundesliga,31 years old (31-01-1994),"1,83m",Germany,"Defender (Centre), Defensive Midfielder (C)",Defensive Midfield,right,27,2296.0,2,-,11,1,82.3,1.4,1,6.95,"Jun 30, 2028",€3.50m
46,Denis Vavro,VfL Wolfsburg,Bundesliga,29 years old (10-04-1996),"1,89m",Slovakia,Defender (Centre),Centre-Back,right,24(2),2206.0,2,-,4,-,87.3,2.9,2,6.95,"Jun 30, 2025",€7.00m
47,David Raum,RB Leipzig,Bundesliga,27 years old (22-04-1998),"1,81m",Germany,"Defender (Left), Midfielder (Left, Right)",Left-Back,left,20(1),1610.0,1,4,4,-,78.5,0.6,1,6.94,"Jun 30, 2027",€25.00m
48,Patrick Mainka,1.FC Heidenheim 1846,Bundesliga,30 years old (06-11-1994),"1,94m",Germany,Defender (Centre),Centre-Back,right,31,2790.0,1,-,4,-,85.7,3.2,2,6.94,"Jun 30, 2027",€3.00m
49,Moritz Nicolas,Borussia Mönchengladbach,Bundesliga,27 years old (21-10-1997),"1,93m",Germany,Goalkeeper,Goalkeeper,right,19,1640.0,-,-,-,-,82.9,0.4,1,6.94,"Jun 30, 2029",€5.00m
50,Matej Kovár,Bayer 04 Leverkusen,Bundesliga,24 years old (17-05-2000),"1,96m",Czech Republic,Goalkeeper,Goalkeeper,right,4,360.0,-,-,-,-,80.2,0.5,-,6.94,"Jun 30, 2027",€7.00m
51,Piero Hincapié,Bayer 04 Leverkusen,Bundesliga,23 years old (09-01-2002),"1,84m",Ecuador,"Defender (Centre, Left), Midfielder (Left)",Centre-Back,left,25(4),2412.0,2,2,7,-,89.5,1.9,2,6.92,"Jun 30, 2029",€50.00m
52,Jonathan Burkardt,1.FSV Mainz 05,Bundesliga,24 years old (11-07-2000),"1,83m",Germany,"Attacking Midfielder (Centre, Right), Forward",Centre-Forward,right,25(1),1856.0,15,2,-,-,73.9,0.7,4,6.91,"Jun 30, 2027",€35.00m
53,Chrislain Matsima,FC Augsburg,Bundesliga,22 years old (15-05-2002),"1,93m",France,Defender (Centre),Centre-Back,right,25(2),2281.0,1,-,4,-,85.4,2.2,2,6.91,"Jun 30, 2025",€17.00m
54,Kaishu Sano,1.FSV Mainz 05,Bundesliga,24 years old (30-12-2000),"1,76m",Japan,Midfielder (Centre),Defensive Midfield,right,31,2774.0,-,-,3,-,80.9,2.6,-,6.91,"Jun 30, 2028",€17.00m
55,Robin Koch,Eintracht Frankfurt,Bundesliga,28 years old (17-07-1996),"1,92m",Germany,"Defender (Centre), Defensive Midfielder (C)",Centre-Back,right,27,2319.0,3,-,3,-,90.6,3.3,-,6.91,"Jun 30, 2027",€18.00m
56,Kauã Santos,Eintracht Frankfurt,Bundesliga,22 years old (11-04-2003),"1,98m",,Goalkeeper,Goalkeeper,right,8(1),765.0,-,-,-,-,66.7,0.9,1,6.91,"Jun 30, 2030",€2.50m
57,Robin Zentner,1.FSV Mainz 05,Bundesliga,30 years old (28-10-1994),"1,95m",Germany,Goalkeeper,Goalkeeper,right,31,2790.0,-,-,3,-,59.3,0.3,1,6.9,"Jun 30, 2028",€4.00m
58,Leo Østigård,TSG 1899 Hoffenheim,Bundesliga,25 years old (28-11-1999),"1,83m",Norway,Defender (Centre),Centre-Back,right,8,658.0,-,-,-,1,83.3,5.4,1,6.89,"Jun 30, 2025",€7.00m
59,Marvin Ducksch,SV Werder Bremen,Bundesliga,31 years old (07-03-1994),"1,88m",Germany,"Attacking Midfielder (Centre), Forward",Centre-Forward,right,27(2),2190.0,7,7,3,-,70,0.7,3,6.89,"Jun 30, 2026",€7.50m
60,Jens Stage,SV Werder Bremen,Bundesliga,28 years old (08-11-1996),"1,87m",Denmark,Midfielder (Centre),Central Midfield,right,23(2),1961.0,7,5,9,-,78.3,1.1,2,6.89,-,€12.00m
61,Frederik Rønnow,1.FC Union Berlin,Bundesliga,32 years old (04-08-1992),"1,88m",Denmark,Goalkeeper,Goalkeeper,right,26,2340.0,-,-,2,-,63.1,0.7,4,6.89,-,€4.00m
62,Rasmus Kristensen,Eintracht Frankfurt,Bundesliga,27 years old (11-07-1997),"1,87m",Denmark,"Defender (Centre, Right), Midfielder (Right)",Right-Back,right,25(2),2246.0,2,2,2,-,79.6,1.3,1,6.88,"Jun 30, 2025",€10.00m
63,Morgan Guilavogui,FC St. Pauli,Bundesliga,27 years old (10-03-1998),"1,89m",Guinea,"Attacking Midfielder (Left, Right), Forward",Right Winger,right,18(4),1567.0,5,1,6,-,67.7,2.8,2,6.88,"Jun 30, 2025",€4.00m
64,Eric Dier,Bayern Munich,Bundesliga,31 years old (15-01-1994),"1,91m",England,"Defender (Centre, Right), Defensive Midfielder (C)",Centre-Back,right,13(5),1195.0,1,1,-,-,93.9,2.5,-,6.88,"Jun 30, 2025",€8.00m
65,Maximilian Arnold,VfL Wolfsburg,Bundesliga,30 years old (27-05-1994),"1,84m",Germany,"Midfielder (Centre, Right)",Central Midfield,left,26(1),2269.0,3,5,7,1,84,0.5,1,6.88,"Jun 30, 2026",€7.00m
66,Waldemar Anton,Borussia Dortmund,Bundesliga,28 years old (20-07-1996),"1,89m",Germany,"Defender (Centre, Right), Defensive Midfielder (C)",Centre-Back,right,19(4),1678.0,2,2,4,-,91.2,1.7,1,6.88,"Jun 30, 2028",€18.00m
67,Jae-Sung Lee,1.FSV Mainz 05,Bundesliga,32 years old (10-08-1992),"1,80m",South Korea,"Attacking Midfielder (Centre, Left, Right), Forward",Attacking Midfield,left,28(2),2433.0,7,5,4,-,79.9,1.6,1,6.88,"Jun 30, 2026",€2.50m
68,Marco Friedl,SV Werder Bremen,Bundesliga,27 years old (16-03-1998),"1,87m",Austria,"Defender (Centre, Left), Midfielder (Left)",Centre-Back,left,22(1),1895.0,-,-,7,2,90.1,2,2,6.87,"Jun 30, 2028",€10.00m
69,Dimitris Giannoulis,FC Augsburg,Bundesliga,29 years old (17-10-1995),"1,78m",Greece,"Defender (Left), Midfielder (Left)",Left-Back,left,28,2385.0,1,4,7,-,77.7,0.4,-,6.85,"Jun 30, 2028",€2.80m
70,Serge Gnabry,Bayern Munich,Bundesliga,29 years old (14-07-1995),"1,76m",Germany,"Attacking Midfielder (Centre, Left, Right), Forward",Left Winger,right,11(13),1052.0,6,4,-,-,85.8,0.2,-,6.85,"Jun 30, 2026",€25.00m
71,Jonathan Tah,Bayer 04 Leverkusen,Bundesliga,29 years old (11-02-1996),"1,95m",Germany,Defender (Centre),Centre-Back,right,30,2700.0,2,-,2,-,93.4,2.3,-,6.85,"Jun 30, 2025",€30.00m
72,Nico Schlotterbeck,Borussia Dortmund,Bundesliga,25 years old (01-12-1999),"1,91m",Germany,Defender (Centre),Centre-Back,left,23,1984.0,-,4,5,2,89.6,2.3,1,6.85,"Jun 30, 2027",€40.00m
73,Aleksandar Pavlovic,Bayern Munich,Bundesliga,20 years old (03-05-2004),"1,88m",Germany,Defensive Midfielder (C),Defensive Midfield,both,16(2),1250.0,1,-,2,-,94.1,0.5,-,6.85,"Jun 30, 2029",€50.00m
74,Jeffrey Gouweleeuw,FC Augsburg,Bundesliga,33 years old (10-07-1991),"1,88m",Netherlands,Defender (Centre),Centre-Back,right,30,2675.0,1,4,9,-,82.4,1.9,1,6.84,"Jun 30, 2026",€1.50m
75,Adam Hlozek,TSG 1899 Hoffenheim,Bundesliga,22 years old (25-07-2002),"1,88m",Czech Republic,"Attacking Midfielder (Centre, Left, Right), Forward",Second Striker,right,19(5),1619.0,7,2,2,-,70.4,1.5,3,6.84,"Jun 30, 2029",€18.00m
76,Patrick Wimmer,VfL Wolfsburg,Bundesliga,23 years old (30-05-2001),"1,82m",Austria,"Attacking Midfielder (Centre, Left, Right), Forward",Right Winger,right,19(7),1577.0,3,4,5,1,65.9,1.5,2,6.84,"Jun 30, 2027",€15.00m
77,Péter Gulácsi,RB Leipzig,Bundesliga,34 years old (06-05-1990),"1,93m",Hungary,Goalkeeper,Goalkeeper,right,28,2453.0,-,-,-,-,79.3,0.4,1,6.84,"Jun 30, 2026",€2.50m
78,Karim Adeyemi,Borussia Dortmund,Bundesliga,23 years old (18-01-2002),"1,80m",Germany,"Attacking Midfielder (Left, Right), Forward",Right Winger,left,15(7),1273.0,4,5,3,-,78.6,0.4,1,6.83,"Jun 30, 2027",€40.00m
79,Victor Boniface,Bayer 04 Leverkusen,Bundesliga,24 years old (23-12-2000),"1,90m",Nigeria,Forward,Centre-Forward,right,12(7),1011.0,8,1,2,-,71.5,1.7,2,6.83,"Jun 30, 2028",€45.00m
80,Thomas Dähne,Holstein Kiel,Bundesliga,31 years old (04-01-1994),"1,93m",Germany,Goalkeeper,Goalkeeper,both,6,540.0,-,-,-,-,71.6,0.5,-,6.83,"Jun 30, 2026",€400k
81,Rocco Reitz,Borussia Mönchengladbach,Bundesliga,22 years old (29-05-2002),"1,76m",Germany,Midfielder (Centre),Central Midfield,right,18(6),1585.0,1,1,1,-,80.6,0.5,1,6.82,"Jun 30, 2028",€15.00m
82,Ko Itakura,Borussia Mönchengladbach,Bundesliga,28 years old (27-01-1997),"1,88m",Japan,"Defender (Centre), Defensive Midfielder (C)",Centre-Back,right,29,2610.0,3,-,5,-,89.4,2.2,-,6.82,"Jun 30, 2026",€12.00m
83,Budu Zivzivadze,1.FC Heidenheim 1846,Bundesliga,31 years old (10-03-1994),"1,89m",Georgia,Forward,Centre-Forward,both,10(2),895.0,2,2,-,-,69,1.9,2,6.82,"Jun 30, 2029",€2.50m
84,Jackson Irvine,FC St. Pauli,Bundesliga,32 years old (07-03-1993),"1,89m",Australia,"Midfielder (Centre, Left)",Central Midfield,right,29,2610.0,-,6,2,-,71.8,3,1,6.82,-,€2.00m
85,Mitchell Weiser,SV Werder Bremen,Bundesliga,31 years old (21-04-1994),"1,77m",Germany,"Defender (Right), Midfielder (Centre, Right)",Right-Back,right,29,2602.0,5,7,7,1,74.5,1.1,2,6.82,-,€5.00m
86,Alexander Bernhardsson,Holstein Kiel,Bundesliga,26 years old (08-09-1998),"1,85m",Sweden,"Attacking Midfielder (Centre), Forward",Right Winger,left,12(4),1047.0,5,2,3,-,63.7,1,1,6.82,"Jun 30, 2027",€1.50m
87,Philipp Hofmann,VfL Bochum,Bundesliga,32 years old (30-03-1993),"1,95m",Germany,Forward,Centre-Forward,left,26(4),2234.0,3,2,4,-,64.8,5.4,1,6.81,"Jun 30, 2026",€1.50m
88,Tuta,Eintracht Frankfurt,Bundesliga,25 years old (04-07-1999),"1,85m",Brazil,"Defender (Centre), Defensive Midfielder (C)",Centre-Back,right,24(4),2126.0,2,1,8,-,88.9,1.4,1,6.81,"Jun 30, 2026",€15.00m
89,Noah Atubolu,SC Freiburg,Bundesliga,22 years old (25-05-2002),"1,90m",Germany,Goalkeeper,Goalkeeper,right,24,2128.0,-,-,2,-,72.8,0.3,1,6.81,-,€15.00m
90,Lukas Kübler,SC Freiburg,Bundesliga,32 years old (30-08-1992),"1,82m",Germany,"Defender (Centre, Left, Right), Midfielder (Right)",Right-Back,right,22(3),1790.0,5,1,5,-,79.7,1.7,3,6.81,-,€2.00m
91,Daniel Svensson,Borussia Dortmund,Bundesliga,23 years old (12-02-2002),"1,83m",Sweden,Midfielder (Left),Left-Back,left,5(4),509.0,1,2,-,-,82.7,0.6,-,6.81,"Jun 30, 2025",€5.50m
92,Lucas Höler,SC Freiburg,Bundesliga,30 years old (10-07-1994),"1,84m",Germany,"Attacking Midfielder (Centre, Left, Right), Forward",Centre-Forward,right,20(9),1735.0,5,4,3,-,68.1,2.7,2,6.8,-,€3.50m
93,Loïs Openda,RB Leipzig,Bundesliga,25 years old (16-02-2000),"1,77m",Belgium,"Attacking Midfielder (Centre), Forward",Centre-Forward,right,26(4),2297.0,9,5,3,1,66.5,0.7,1,6.8,"Jun 30, 2028",€60.00m
94,Bernardo,VfL Bochum,Bundesliga,29 years old (14-05-1995),"1,86m",Brazil,"Defender (Centre, Left, Right), Midfielder (Left)",Centre-Back,left,16(2),1466.0,-,-,5,-,76.2,3.7,-,6.79,"Jun 30, 2025",€5.50m
95,Leon Goretzka,Bayern Munich,Bundesliga,30 years old (06-02-1995),"1,89m",Germany,"Midfielder (Centre, Right)",Central Midfield,right,12(11),1176.0,4,1,2,-,90.8,1.2,-,6.79,"Jun 30, 2026",€22.00m
96,Antonio Nusa,RB Leipzig,Bundesliga,20 years old (17-04-2005),"1,83m",Norway,"Midfielder (Centre, Left, Right)",Left Winger,right,15(7),1455.0,3,3,-,-,77.6,0.3,-,6.79,"Jun 30, 2029",€28.00m
97,Jonas Wind,VfL Wolfsburg,Bundesliga,26 years old (07-02-1999),"1,90m",Denmark,"Attacking Midfielder (Centre), Forward",Centre-Forward,right,20(9),1862.0,8,3,2,-,71.1,3.2,2,6.79,"Jun 30, 2026",€15.00m
98,Arthur Theate,Eintracht Frankfurt,Bundesliga,24 years old (25-05-2000),"1,85m",Belgium,"Defender (Centre, Left)",Centre-Back,left,28,2439.0,-,-,2,1,84.9,1.5,1,6.78,"Jun 30, 2029",€24.00m
99,Paul Nebel,1.FSV Mainz 05,Bundesliga,22 years old (10-10-2002),"1,69m",Germany,"Attacking Midfielder (Centre, Right)",Attacking Midfield,both,23(5),2079.0,8,3,3,1,78.6,0.6,3,6.78,"Jun 30, 2027",€17.00m
100,Eric Smith,FC St. Pauli,Bundesliga,28 years old (08-01-1997),"1,92m",Sweden,"Defender (Centre), Defensive Midfielder (C)",Centre-Back,right,29,2559.0,1,1,6,-,84.3,1.1,-,6.77,-,€5.00m
101,Felix Agu,SV Werder Bremen,Bundesliga,25 years old (27-09-1999),"1,80m",Germany,"Defender (Left, Right), Midfielder (Left, Right)",Left-Back,right,18(1),1522.0,3,-,1,-,81,0.9,1,6.77,"Jun 30, 2027",€6.00m
102,Alassane Pléa,Borussia Mönchengladbach,Bundesliga,32 years old (10-03-1993),"1,81m",France,"Attacking Midfielder (Centre, Left, Right), Forward",Centre-Forward,right,23(5),1812.0,11,4,3,-,75.6,0.5,2,6.76,"Jun 30, 2026",€6.00m
103,Ridle Baku,RB Leipzig,Bundesliga,27 years old (08-04-1998),"1,76m",Germany,"Defender (Right), Midfielder (Centre, Right)",Right-Back,right,14(1),1175.0,2,1,2,-,78,0.3,1,6.76,"Jun 30, 2027",€7.00m
104,Matús Bero,VfL Bochum,Bundesliga,29 years old (06-09-1995),"1,81m",Slovakia,"Midfielder (Centre, Left, Right), Forward",Central Midfield,right,26(1),2300.0,5,1,10,-,74.9,0.9,1,6.76,"Jun 30, 2026",€3.50m
105,Nikola Vasilj,FC St. Pauli,Bundesliga,29 years old (02-12-1995),"1,93m",Bosnia-Herzegovina,Goalkeeper,Goalkeeper,right,31,2790.0,-,-,-,-,71.4,0.3,3,6.75,-,€3.00m
106,Robin Hack,Borussia Mönchengladbach,Bundesliga,26 years old (27-08-1998),"1,78m",Germany,"Attacking Midfielder (Centre, Left, Right), Forward",Left Winger,right,24(6),1956.0,4,6,4,-,79.1,0.6,2,6.75,"Jun 30, 2029",€10.00m
107,Jeff Chabot,VfB Stuttgart,Bundesliga,27 years old (12-02-1998),"1,95m",Germany,Defender (Centre),Centre-Back,left,24(4),2029.0,3,1,8,1,89.3,2.5,-,6.74,"Jun 30, 2028",€12.00m
108,Ansgar Knauff,Eintracht Frankfurt,Bundesliga,23 years old (10-01-2002),"1,80m",Germany,"Midfielder (Centre, Left, Right)",Right Winger,right,15(12),1362.0,3,5,2,-,67.1,0.7,2,6.74,"Jun 30, 2028",€10.00m
109,Sven Ulreich,Bayern Munich,Bundesliga,36 years old (03-08-1988),"1,92m",Germany,Goalkeeper,Goalkeeper,right,1,90.0,-,-,-,-,80.8,-,-,6.74,"Jun 30, 2025",€500k
110,Exequiel Palacios,Bayer 04 Leverkusen,Bundesliga,26 years old (05-10-1998),"1,78m",Argentina,Midfielder (Centre),Central Midfield,right,10(11),1003.0,1,6,1,-,90.5,-,2,6.74,"Jun 30, 2028",€40.00m
111,Julian Brandt,Borussia Dortmund,Bundesliga,28 years old (02-05-1996),"1,85m",Germany,"Midfielder (Centre, Left, Right), Forward",Attacking Midfield,right,25(2),2071.0,4,6,1,-,82.7,0.4,1,6.74,"Jun 30, 2026",€25.00m
112,Ibrahima Sissoko,VfL Bochum,Bundesliga,27 years old (27-10-1997),"1,93m",France,"Defender (Centre), Defensive Midfielder (C)",Defensive Midfield,right,27(2),2407.0,2,1,8,1,76.9,2.2,2,6.74,"Jun 30, 2027",€6.00m
